39TH ST 	1700 - 1999 	MIDVALE DR - ROWAN ST 	Not Posted, Both Sides 2nd Mon	
39TH ST 	2000 - 2039 	ROWAN ST - GATEWAY DR 	Not Posted, Both Sides 2nd Mon	
39TH ST 	2040 - 2099 	GATEWAY DR - WESTGATE PL 	Not Posted, Both Sides 2nd Mon	
39TH ST 	2100 - 2239 	WESTGATE PL - MIDVALE DR 	Not Posted, Both Sides 2nd Mon	
39TH ST 	2240 - 2299 	MIDVALE DR - JUNIPER ST 	Not Posted, Both Sides 2nd Mon	
39TH ST 	2300 - 2408 	JUNIPER ST - SYCAMORE DR 	Not Posted, Both Sides 2nd Mon	
39TH ST 	2800 - 2999 	BEGIN - QUINCE ST 	Not Posted, Both Sides Odd Month 3rd Thu	
39TH ST 	3000 - 3099 	QUINCE ST - REDWOOD ST 	Not Posted, Both Sides Odd Month 3rd Thu	
39TH ST 	3100 - 3299 	REDWOOD ST - THORN ST 	Not Posted, Both Sides Odd Month 3rd Thu	
39TH ST 	3300 - 3499 	THORN ST - MYRTLE AV 	Not Posted, Both Sides Odd Month 3rd Thu	
39TH ST 	3500 - 3599 	MYRTLE AV - END 	Not Posted, Both Sides Odd Month 3rd Thu	
39TH ST 	3800 - 3999 	WIGHTMAN ST - UNIVERSITY AV 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
39TH ST 	4000 - 4099 	UNIVERSITY AV - POLK AV 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
39TH ST 	4100 - 4199 	POLK AV - ORANGE AV 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
39TH ST 	4200 - 4299 	ORANGE AV - EL CAJON BL 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
39TH ST 	800 - 899 	F ST - HILLTOP DR 	Not Posted, Both Sides 1st Mon	
39TH ST 	900 - 999 	HILLTOP DR - BROADWAY 	Not Posted, Both Sides 1st Mon	
40TH ST 	1000 - 1099 	BROADWAY - C ST 	Not Posted, Both Sides 1st Mon	
40TH ST 	2900 - 2999 	BEGIN - QUINCE ST 	Not Posted, Both Sides Odd Month 3rd Thu	
40TH ST 	3000 - 3099 	BEGIN - REDWOOD ST 	Not Posted, Both Sides Odd Month 3rd Thu	
40TH ST 	3100 - 3299 	REDWOOD ST - THORN ST 	Not Posted, Both Sides Odd Month 3rd Thu	
40TH ST 	3300 - 3499 	THORN ST - MYRTLE AV 	Not Posted, Both Sides Odd Month 3rd Thu	
40TH ST 	3500 - 3669 	MYRTLE AV - DWIGHT ST 	Not Posted, Both Sides Odd Month 3rd Thu	
40TH ST 	3700 - 3799 	LANDIS ST - WIGHTMAN ST 	Posted (8am - 11am), ES Mon, WS Thu	
40TH ST 	3800 - 3999 	WIGHTMAN ST - UNIVERSITY AV 	Posted (8am - 11am), ES Mon, WS Thu	
40TH ST 	4100 - 4199 	POLK AV - ORANGE AV 	Posted (8am - 11am), ES Mon, WS Thu	
40TH ST 	4200 - 4299 	ORANGE AV - EL CAJON BL 	Posted (8am - 11am), ES Mon, WS Thu	
40TH ST 	600 - 799 	MARKET ST - F ST 	Not Posted, Both Sides 1st Mon	
40TH ST 	800 - 899 	F ST - HILLTOP DR 	Not Posted, Both Sides 1st Mon	
40TH ST 	900 - 999 	HILLTOP DR - BROADWAY 	Not Posted, Both Sides 1st Mon	
41ST ST 	1000 - 1099 	BROADWAY - C ST 	Not Posted, Both Sides 1st Mon	
41ST ST 	3100 - 3299 	REDWOOD ST - THORN ST 	Not Posted, Both Sides Odd Month 3rd Thu	
41ST ST 	3300 - 3499 	THORN ST - MYRTLE AV 	Not Posted, Both Sides Odd Month 3rd Thu	
41ST ST 	3500 - 3599 	MYRTLE AV - DWIGHT ST 	Not Posted, Both Sides Odd Month 3rd Thu	
41ST ST 	3600 - 3699 	DWIGHT ST - LANDIS ST 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
41ST ST 	3700 - 3799 	LANDIS ST - WIGHTMAN ST 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
41ST ST 	3800 - 3999 	WIGHTMAN ST - UNIVERSITY AV 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
41ST ST 	400 - 402 	BEGIN - J ST 	Not Posted, Both Sides 1st Mon	
41ST ST 	4000 - 4099 	UNIVERSITY AV - END 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
41ST ST 	403 - 599 	J ST - MARKET ST 	Not Posted, Both Sides 1st Mon	
41ST ST 	4100 - 4199 	POLK AV - ORANGE AV 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
41ST ST 	4200 - 4299 	ORANGE AV - EL CAJON BL 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
41ST ST 	4300 - 4399 	EL CAJON BL - MEADE AV 	Not Posted, Both Sides 4th Mon	
41ST ST 	4400 - 4499 	MEADE AV - MONROE AV 	Not Posted, Both Sides 4th Mon	
41ST ST 	600 - 799 	MARKET ST - F ST 	Not Posted, Both Sides 1st Mon	
41ST ST 	800 - 899 	F ST - HILLTOP DR 	Not Posted, Both Sides 1st Mon	
41ST ST 	900 - 999 	HILLTOP DR - BROADWAY 	Not Posted, Both Sides 1st Mon	
42ND ST 	1000 - 1099 	BROADWAY - C ST 	Not Posted, Both Sides 1st Mon	
42ND ST 	1570 - 1699 	BEGIN - SPILLMAN DR 	Not Posted, Both Sides 2nd Mon	
42ND ST 	3300 - 3499 	THORN ST - MYRTLE AV 	Not Posted, Both Sides Odd Month 3rd Thu	
42ND ST 	3500 - 3599 	MYRTLE AV - DWIGHT ST 	Not Posted, Both Sides Odd Month 3rd Thu	
42ND ST 	3600 - 3699 	DWIGHT ST - LANDIS ST 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
42ND ST 	3700 - 3799 	LANDIS ST - WIGHTMAN ST 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
42ND ST 	3800 - 3999 	WIGHTMAN ST - UNIVERSITY AV 	Posted (7am - 10am), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
42ND ST 	400 - 599 	J ST - MARKET ST 	Not Posted, Both Sides 1st Mon	
42ND ST 	4000 - 4099 	UNIVERSITY AV - POLK AV 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
42ND ST 	4100 - 4199 	POLK AV - ORANGE AV 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
42ND ST 	4200 - 4299 	ORANGE AV - EL CAJON BL 	Posted (10am - 1pm), WS 2nd & 4th Tue, ES 2nd & 4th Mon	
42ND ST 	4300 - 4399 	EL CAJON BL - MEADE AV 	Not Posted, Both Sides 4th Mon	
42ND ST 	4400 - 4499 	MEADE AV - MONROE AV 	Not Posted, Both Sides 4th Mon	
42ND ST 	4500 - 4569 	MONROE AV - COPELAND PL 	Not Posted, Both Sides 4th Mon	
