BETA ST 	4000 - 4099 	BEGIN - S 41ST ST 	Not Posted, Both Sides 2nd Fri	
BETA ST 	4100 - 4199 	S 41ST ST - S 42ND ST 	Not Posted, Both Sides 2nd Fri	
BETA ST 	4300 - 4399 	S 43RD ST - END 	Not Posted, Both Sides 2nd Fri	
BIONA DR 	4600 - 4699 	MADISON AV - ADAMS AV 	Not Posted, Both Sides 4th Mon	
BIONA DR 	4700 - 4799 	ADAMS AV - ALDER DR 	Posted (7am - 10am), WS 3rd Wed, ES 3rd Mon	
BIONA DR 	4800 - 4899 	ALDER DR - BIONA PL 	Not Posted, Both Sides 4th Mon	
BIONA PL 	4200 - 4299 	BIONA DR - VISTA ST 	Not Posted, Both Sides 4th Mon	
BIRCH ST 	3580 - 3699 	BETA ST - UNA ST 	Not Posted, Both Sides 2nd Fri	
BIRCH ST 	3700 - 3799 	UNA ST - VESTA ST 	Not Posted, Both Sides 2nd Fri	
BIXEL DR 	5100 - 5199 	DROVER DR - END 	Not Posted, Both Sides Even Month 3rd Thu	
BOCAW PL 	5100 - 5149 	SARANAC ST - BARBARA ANN PL 	Not Posted, Both Sides 2nd Mon	
BOCAW PL 	5150 - 5199 	BARBARA ANN PL - RICHARD ST 	Not Posted, Both Sides 2nd Mon	
BOCAW PL 	5200 - 5249 	RICHARD ST - JULIE ST 	Not Posted, Both Sides 2nd Mon	
BOCAW PL 	5250 - 5299 	JULIE ST - END 	Not Posted, Both Sides 2nd Mon	
BONILLO DR 	4200 - 4239 	UNIVERSITY AV - MALCOLM DR 	Not Posted, Both Sides 2nd Mon	
BONILLO DR 	4240 - 4259 	MALCOLM DR - TARRAGONA DR 	Not Posted, Both Sides 2nd Mon	
BONILLO DR 	4260 - 4303 	TARRAGONA DR - LERIDA DR 	Not Posted, Both Sides 2nd Mon	
BONILLO DR 	4304 - 4399 	LERIDA DR - LOGRONO DR 	Not Posted, Both Sides 2nd Mon	
BOSTON AV 	3350 - 3439 	BEGIN - ACACIA ST 	Not Posted, Both Sides 2nd Fri	
BOSTON AV 	3440 - 3499 	ACACIA ST - S 35TH ST 	Not Posted, Both Sides 2nd Fri	
BOSTON AV 	3500 - 3599 	S 35TH ST - S 36TH ST 	Not Posted, Both Sides 2nd Fri	
BOSTON AV 	3650 - 3699 	GOODYEAR ST - S 37TH ST 	Posted (10am - 1pm), SS 2nd Fri 	Posted (10am - 1pm), NS 4th Fri
BOSTON AV 	3700 - 3799 	S 37TH ST - S 38TH ST 	Posted (10am - 1pm), SS 2nd Fri 	Posted (10am - 1pm), NS 4th Fri
BOSTON AV 	3800 - 3899 	S 38TH ST - S 39TH ST 	Not Posted, Both Sides 2nd Fri	
BOSTON AV 	3900 - 3999 	S 39TH ST - S 40TH ST 	Not Posted, Both Sides 2nd Fri	
BOSTON AV 	4000 - 4099 	S 40TH ST - S 41ST ST 	Not Posted, Both Sides 2nd Fri	
BOSTON AV 	4300 - 4399 	ALPHA ST - S 44TH ST 	Not Posted, Both Sides 2nd Fri	
BOSTON AV 	4400 - 4499 	S 44TH ST - S 45TH ST 	Not Posted, Both Sides 2nd Fri	
BOUNDARY ST 	600 - 799 	MARKET ST - F ST 	Not Posted, Both Sides 1st Mon	
BOUNDARY ST 	800 - 899 	F ST - HILLTOP DR 	Not Posted, Both Sides 1st Mon	
BOYCE LN 	3300 - 3349 	CHOLLAS PY - STREAMVIEW DR 	Not Posted, Both Sides 4th Mon	
BRADFORD ST 	6000 - 6099 	60TH ST - COLLEGE WY 	Not Posted, Both Sides 2nd Mon	
BRADFORD ST 	6400 - 6599 	SEMINOLE DR - ESTELLE ST 	Not Posted, Both Sides 2nd Mon	
BRAEBURN RD 	4400 - 4499 	HILLDALE RD - END 	Not Posted, Both Sides 4th Mon	
BRAMSON PL 	3200 - 3299 	BEGIN - 33RD ST 	Posted (10am - 1pm), Both Sides 2nd & 4th Tue	
BRIDGEVIEW DR 	1450 - 1589 	ASH ST - WHITE SAGE LN 	Not Posted, Both Sides 2nd Mon	
BRIDGEVIEW DR 	1590 - 1629 	WHITE SAGE LN - END 	Not Posted, Both Sides 2nd Mon	
BRISTOL RD 	5000 - 5099 	HASTINGS RD - HILLDALE RD 	Not Posted, Both Sides 4th Mon	
BRISTOL RD 	5100 - 5199 	HILLDALE RD - MIDDLESEX DR 	Not Posted, Both Sides 4th Mon	
BROADWAY 	3750 - 3799 	BEGIN - 38TH ST 	Not Posted, Both Sides 1st Mon	
BROADWAY 	3800 - 3899 	38TH ST - 39TH ST 	Not Posted, Both Sides 1st Mon	
BROADWAY 	3900 - 3949 	39TH ST - QUAIL ST 	Not Posted, Both Sides 1st Mon	
BROADWAY 	3950 - 3999 	QUAIL ST - 40TH ST 	Not Posted, Both Sides 1st Mon	
BROADWAY 	4000 - 4049 	40TH ST - 40TH ST 	Not Posted, Both Sides 1st Mon	
BROADWAY 	4050 - 4099 	40TH ST - 41ST ST 	Not Posted, Both Sides 1st Mon	
BROADWAY 	4100 - 4198 	41ST ST - 42ND ST 	Not Posted, Both Sides 1st Mon	
BROCKBANK PL 	5100 - 5299 	63RD ST - FALLS WY 	Not Posted, Both Sides 2nd Mon	
BROCKBANK PL 	5300 - 5499 	FALLS WY - END 	Not Posted, Both Sides 2nd Mon	
C ST 	0 - 3849 	38TH ST - ALLEY 	Not Posted, Both Sides 1st Mon	
C ST 	3900 - 3939 	BEGIN - QUAIL ST 	Not Posted, Both Sides 1st Mon	
C ST 	3940 - 3949 	QUAIL ST - QUAIL ST 	Not Posted, Both Sides 1st Mon	
C ST 	3950 - 3999 	QUAIL ST - 40TH ST 	Not Posted, Both Sides 1st Mon	
C ST 	4000 - 4099 	BEGIN - 41ST ST 	Not Posted, Both Sides 1st Mon	
C ST 	4100 - 4198 	41ST ST - 42ND ST 	Not Posted, Both Sides 1st Mon	
CACTUSRIDGE CT 	3650 - 3699 	CACTUSRIDGE ST - END 	Not Posted, Both Sides 2nd Mon	
CACTUSRIDGE ST 	1450 - 1469 	ASH ST - CACTUSVIEW DR 	Not Posted, Both Sides 2nd Mon	
CACTUSRIDGE ST 	1470 - 1489 	CACTUSVIEW DR - CACTUSRIDGE CT 	Not Posted, Both Sides 2nd Mon	
CACTUSRIDGE ST 	1490 - 1599 	CACTUSRIDGE CT - WHITE SAGE LN 	Not Posted, Both Sides 2nd Mon	
CACTUSRIDGE ST 	1600 - 1619 	WHITE SAGE LN - CEDAR ST 	Not Posted, Both Sides 2nd Mon	
CACTUSVIEW DR 	3650 - 3699 	CACTUSRIDGE ST - PARROT ST 	Not Posted, Both Sides 2nd Mon	
CAJON WY 	4600 - 4699 	MADISON AV - SIESTA DR 	Not Posted, Both Sides Even Month 3rd Thu	
CAM DEL RIO SOUTH 	0 - 0 	BEGIN - FAIRMOUNT AV 	Not Posted, Both Sides Wed	
CAM DEL RIO SOUTH 	4400 - 4499 	BEGIN - FAIRMOUNT AV 	Not Posted, Both Sides Wed	
CAMPANILE DR 	4750 - 4843 	BEGIN - CAMPANILE WY 	Not Posted, Both Sides Even Month 3rd Thu	
CAMPANILE DR 	4844 - 4899 	CAMPANILE WY - BAJA DR 	Not Posted, Both Sides Even Month 3rd Thu	
CAMPANILE DR 	4900 - 5039 	BAJA DR - DOROTHY DR 	Not Posted, Both Sides Even Month 3rd Thu	
CAMPANILE DR 	5040 - 5069 	DOROTHY DR - MARY LANE DR 	Not Posted, Both Sides Even Month 3rd Thu	
CAMPANILE DR 	5070 - 5099 	MARY LANE DR - MONTEZUMA RD 	Not Posted, Both Sides Even Month 3rd Thu	
CAMPANILE WY 	5600 - 5799 	BEGIN - CAMPANILE DR 	Not Posted, Both Sides Even Month 3rd Thu	
CANTERBURY DR 	4800 - 4899 	EAST CANTERBURY DR - NORFOLK TR 	Not Posted, Both Sides 4th Mon	
CANTERBURY DR 	4900 - 5049 	NORFOLK TR - WESTMINSTER TR 	Not Posted, Both Sides 4th Mon	
CANTERBURY DR 	5050 - 5099 	WESTMINSTER TR - HILLDALE RD 	Not Posted, Both Sides 4th Mon	
CANTERBURY DR 	5100 - 5133 	HILLDALE RD - MIDDLESEX DR 	Not Posted, Both Sides 4th Mon	
CANTERBURY DR 	5134 - 5199 	MIDDLESEX DR - BEDFORD DR 	Not Posted, Both Sides 4th Mon	
CANTERBURY DR 	5200 - 5299 	BEDFORD DR - RIDGEWAY 	Not Posted, Both Sides 4th Mon	
CANTERBURY DR 	5300 - 5399 	RIDGEWAY - PALISADES RD 	Not Posted, Both Sides 4th Mon	
CARLING DR 	4400 - 4439 	CARLING WY - ADELAIDE AV 	Not Posted, Both Sides 2nd Mon	
CARLING DR 	4440 - 4499 	ADELAIDE AV - LORCA DR 	Not Posted, Both Sides 2nd Mon	
CARLING WY 	6100 - 6139 	TARRAGONA DR - TARRAGONA DR 	Not Posted, Both Sides 2nd Mon	
CARLING WY 	6140 - 6199 	TARRAGONA DR - CARLING DR 	Not Posted, Both Sides 2nd Mon	
CARLOS ST 	300 - 399 	K ST - J ST 	Not Posted, Both Sides 1st Mon	
CARLOS ST 	400 - 561 	J ST - END 	Not Posted, Both Sides 1st Mon	
CAROL ST 	6000 - 6099 	60TH ST - COLLEGE WY 	Not Posted, Both Sides 2nd Mon	
CAROLINE DR 	4700 - 4799 	LUCILLE DR - LUCILLE DR 	Not Posted, Both Sides 3rd Mon	
CARTAGENA DR 	4200 - 4229 	UNIVERSITY AV - MALCOLM DR 	Not Posted, Both Sides 2nd Mon	
CARTAGENA DR 	4230 - 4299 	MALCOLM DR - TARRAGONA DR 	Not Posted, Both Sides 2nd Mon	
CARTAGENA DR 	4300 - 4359 	TARRAGONA DR - RODRIGO DR 	Not Posted, Both Sides 2nd Mon	
CARTAGENA DR 	4360 - 4399 	RODRIGO DR - END 	Not Posted, Both Sides 2nd Mon	
CASTLE AV 	4750 - 4899 	BEGIN - EUCLID AV 	Posted (10am - 1pm), SS  2nd Mon, NS 4th Mon	
CATHERINE AV 	4550 - 4651 	ACORN ST - STANLEY AV 	Not Posted, Both Sides 2nd Mon	
CATOCTIN DR 	4800 - 4849 	63RD ST - ART ST 	Not Posted, Both Sides 2nd Mon	
CATOCTIN DR 	4850 - 4899 	ART ST - 64TH ST 	Not Posted, Both Sides 2nd Mon	
CATOCTIN DR 	4900 - 4959 	64TH ST - CURRY DR 	Not Posted, Both Sides 2nd Mon	
CATOCTIN DR 	4960 - 4971 	CURRY DR - CURRY DR 	Not Posted, Both Sides 2nd Mon	
CATOCTIN DR 	4972 - 4975 	CURRY DR - GARY ST 	Not Posted, Both Sides 2nd Mon	
CATOCTIN DR 	4976 - 4999 	GARY ST - MONTEZUMA RD 	Not Posted, Both Sides 2nd Mon	
CATOCTIN DR 	5000 - 5099 	MONTEZUMA RD - SARANAC ST 	Not Posted, Both Sides 2nd Mon	
CATOCTIN DR 	5100 - 5199 	SARANAC ST - ROXY LN 	Not Posted, Both Sides 2nd Mon	
CATOCTIN DR 	5200 - 5218 	ROXY LN - RICHARD ST 	Not Posted, Both Sides 2nd Mon	
CATOCTIN DR 	5219 - 5249 	RICHARD ST - JULIE ST 	Not Posted, Both Sides 2nd Mon	
CATOCTIN DR 	5250 - 5271 	JULIE ST - CLEO ST 	Not Posted, Both Sides 2nd Mon	
CEDAR ST 	3700 - 3899 	CACTUSRIDGE ST - 38TH ST 	Not Posted, Both Sides 2nd Mon	
CENTRAL AV 	3000 - 3099 	BEGIN - REDWOOD ST 	Not Posted, Both Sides Odd Month 3rd Thu	
CENTRAL AV 	3100 - 3299 	REDWOOD ST - THORN ST 	Not Posted, Both Sides Odd Month 3rd Thu	
CENTRAL AV 	3300 - 3499 	THORN ST - MYRTLE AV 	Not Posted, Both Sides Odd Month 3rd Thu	
CENTRAL AV 	3500 - 3599 	MYRTLE AV - DWIGHT ST 	Not Posted, Both Sides Odd Month 3rd Thu	
CENTRAL AV 	3600 - 3699 	DWIGHT ST - LANDIS ST 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
CENTRAL AV 	3700 - 3799 	LANDIS ST - WIGHTMAN ST 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
CENTRAL AV 	3800 - 3999 	WIGHTMAN ST - END 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
CENTRAL AV 	4100 - 4199 	BEGIN - ORANGE AV 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
CENTRAL AV 	4200 - 4299 	ORANGE AV - END 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
CENTRAL AV 	4300 - 4399 	EL CAJON BL - MEADE AV 	Not Posted, Both Sides 4th Mon	
CENTRAL AV 	4400 - 4499 	MEADE AV - MONROE AV 	Not Posted, Both Sides 4th Mon	
CHAMOUNE AV 	2900 - 2999 	BEGIN - QUINCE ST 	Not Posted, Both Sides Odd Month 4th Tue	
CHAMOUNE AV 	3000 - 3099 	QUINCE ST - REDWOOD ST 	Not Posted, Both Sides Odd Month 4th Tue	
CHAMOUNE AV 	3100 - 3299 	REDWOOD ST - THORN ST 	Not Posted, Both Sides Odd Month 4th Tue	
CHAMOUNE AV 	3300 - 3499 	THORN ST - MYRTLE AV 	Not Posted, Both Sides Odd Month 4th Tue	
CHAMOUNE AV 	3500 - 3599 	MYRTLE AV - DWIGHT ST 	Not Posted, Both Sides Odd Month 4th Tue	
CHAMOUNE AV 	3600 - 3699 	DWIGHT ST - LANDIS ST 	Not Posted, Both Sides Odd Month 4th Tue	
CHAMOUNE AV 	3700 - 3799 	LANDIS ST - WIGHTMAN ST 	Not Posted, Both Sides Odd Month 4th Tue	
CHAMOUNE AV 	3800 - 3999 	WIGHTMAN ST - UNIVERSITY AV 	Not Posted, Both Sides Odd Month 4th Tue	
CHAMOUNE AV 	4000 - 4099 	UNIVERSITY AV - POLK AV 	Not Posted, Both Sides 3rd Mon	
CHAMOUNE AV 	4100 - 4199 	POLK AV - ORANGE AV 	Not Posted, Both Sides 3rd Mon	
CHAMOUNE AV 	4200 - 4299 	ORANGE AV - EL CAJON BL 	Not Posted, Both Sides 3rd Mon	
CHAMOUNE AV 	4300 - 4319 	EL CAJON BL - END 	Not Posted, Both Sides 3rd Mon	
CHAPARRAL WY 	4900 - 5099 	54TH ST - END 	Not Posted, Both Sides Even Month 3rd Thu	
CHEROKEE AV 	3400 - 3499 	BELLINGHAM AV - MYRTLE AV 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
CHEROKEE AV 	3500 - 3599 	MYRTLE AV - DWIGHT ST 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
CHEROKEE AV 	3600 - 3699 	DWIGHT ST - LANDIS ST 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
CHEROKEE AV 	3700 - 3799 	LANDIS ST - WIGHTMAN ST 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
CHEROKEE AV 	3800 - 3999 	WIGHTMAN ST - UNIVERSITY AV 	Posted (7am - 10am), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
CHEROKEE AV 	4000 - 4099 	UNIVERSITY AV - POLK AV 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
CHEROKEE AV 	4100 - 4199 	POLK AV - ORANGE AV 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
CHEROKEE AV 	4200 - 4299 	ORANGE AV - EL CAJON BL 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
CHOCTAW DR 	4700 - 4781 	EL CAJON BL - 63RD ST 	Not Posted, Both Sides 2nd Mon	
CHOLLAS PY 	0 - 5108 	BEGIN - SALTA PL 	Not Posted, Both Sides 4th Mon	
CHOLLAS PY 	0 - 5198 	SALTA PL - BOYCE LN 	Not Posted, Both Sides 4th Mon	
CHOLLAS PY 	0 - 5298 	BOYCE LN - MINA ST 	Not Posted, Both Sides 4th Mon	
CHOLLAS PY 	0 - 5398 	MINA ST - LEA ST 	Not Posted, Both Sides 4th Mon	
CHOLLAS PY 	5400 - 5699 	54TH ST - UNIVERSITY AV 	Not Posted, Both Sides Mon	
CLEMATIS ST 	2100 - 2199 	LARCH ST - RIDGE VIEW DR 	Not Posted, Both Sides 2nd Mon	
CLEO ST 	6300 - 6399 	BEGIN - GARY ST 	Not Posted, Both Sides 2nd Mon	
CLEO ST 	6400 - 6499 	GARY ST - CATOCTIN DR 	Not Posted, Both Sides 2nd Mon	
CLEO ST 	6600 - 6699 	LENORE DR - JUDSON WY 	Not Posted, Both Sides 2nd Mon	
CLIFFORD ST 	4700 - 4799 	RIDGE VIEW DR - BAILY AV 	Not Posted, Both Sides 2nd Mon	
CLINTON ST 	3700 - 3799 	S 37TH ST - S 38TH ST 	Not Posted, Both Sides 2nd Fri	
COLLEGE AV 	4200 - 4229 	UNIVERSITY AV - MALCOLM DR 	Not Posted, Both Sides Wed	
COLLEGE AV 	4230 - 4309 	MALCOLM DR - VIEW PL 	Not Posted, Both Sides Wed	
COLLEGE AV 	4310 - 4449 	VIEW PL - ADELAIDE AV 	Not Posted, Both Sides Wed	
COLLEGE AV 	4450 - 4499 	ADELAIDE AV - ESTELLE ST 	Not Posted, Both Sides Wed	
COLLEGE AV 	4500 - 4519 	ESTELLE ST - ESTELLE ST 	Not Posted, Both Sides Wed	
COLLEGE AV 	4520 - 4549 	ESTELLE ST - ACORN ST 	Not Posted, Both Sides Wed	
COLLEGE AV 	4550 - 4571 	ACORN ST - PECK PL 	Not Posted, Both Sides Wed	
COLLEGE AV 	4572 - 4599 	PECK PL - COLLEGE WY 	Not Posted, Both Sides Wed	
COLLEGE AV 	4600 - 4609 	COLLEGE WY - EL CAJON BL 	Not Posted, Both Sides Wed	
COLLEGE AV 	4610 - 4619 	EL CAJON BL - SORIA DR 	Not Posted, Both Sides Wed	
COLLEGE AV 	4620 - 4699 	SORIA DR - ADAMS AV 	Not Posted, Both Sides Wed	
COLLEGE AV 	4700 - 4799 	ADAMS AV - AROSA ST 	Not Posted, Both Sides Wed	
COLLEGE AV 	4800 - 4899 	AROSA ST - MESITA DR 	Not Posted, Both Sides Wed	
COLLEGE AV 	4900 - 4929 	MESITA DR - CRESITA DR 	Not Posted, Both Sides Wed	
COLLEGE AV 	4930 - 4999 	CRESITA DR - PONTIAC ST 	Not Posted, Both Sides Wed	
COLLEGE AV 	5000 - 5009 	PONTIAC ST - CRESITA DR 	Not Posted, Both Sides Wed	
COLLEGE AV 	5010 - 5064 	CRESITA DR - COLLEGE PL 	Not Posted, Both Sides Wed	
COLLEGE AV 	5065 - 5099 	COLLEGE PL - MONTEZUMA RD 	Not Posted, Both Sides Wed	
COLLEGE AV 	5100 - 5139 	MONTEZUMA RD - LINDO PASEO 	Not Posted, Both Sides Wed	
COLLEGE AV 	5140 - 5168 	LINDO PASEO - AZTEC CR DR 	Not Posted, Both Sides Wed	
COLLEGE AV 	5169 - 5399 	AZTEC CR DR - ALVARADO RD 	Not Posted, Both Sides Wed	
COLLEGE GARDENS CT 	4900 - 4999 	BEGIN - YERBA ANITA WY 	Not Posted, Both Sides Even Month 3rd Thu	
COLLEGE GARDENS CT 	5000 - 5299 	YERBA ANITA WY - HEWLETT DR 	Not Posted, Both Sides Even Month 3rd Thu	
COLLEGE PL 	5050 - 5099 	BEGIN - COLLEGE AV 	Not Posted, Both Sides Wed	
COLLEGE WY 	4500 - 4529 	ESTELLE ST - BRADFORD ST 	Not Posted, Both Sides 2nd Mon	
COLLEGE WY 	4530 - 4549 	BRADFORD ST - CAROL ST 	Not Posted, Both Sides 2nd Mon	
COLLEGE WY 	4550 - 4599 	CAROL ST - COLLEGE AV 	Not Posted, Both Sides 2nd Mon	
COLLIER AV 	4950 - 4999 	WINONA AV - 50TH ST 	Not Posted, Both Sides 3rd Mon	
COLLIER AV 	5000 - 5099 	50TH ST - 51ST ST 	Not Posted, Both Sides 3rd Mon	
COLLIER AV 	5300 - 5309 	ADAMS AV - BAYLOR DR 	Not Posted, Both Sides 3rd Mon	
COLLIER AV 	5310 - 5329 	BAYLOR DR - AUSTIN DR 	Not Posted, Both Sides 3rd Mon	
COLLIER AV 	5330 - 5369 	AUSTIN DR - ATLANTA DR 	Not Posted, Both Sides 3rd Mon	
COLLIER AV 	5370 - 5399 	ATLANTA DR - 54TH ST 	Not Posted, Both Sides 3rd Mon	
COLLIER AV 	5400 - 5499 	54TH ST - 55TH ST 	Not Posted, Both Sides Even Month 3rd Thu	
COLLWOOD BL 	4460 - 4499 	54TH ST - MONROE AV 	Not Posted, Both Sides Mon	
COLLWOOD BL 	4500 - 5049 	MONROE AV - COLLWOOD WY 	Not Posted, Both Sides Mon	
COLLWOOD BL 	5050 - 5099 	COLLWOOD WY - MONTEZUMA RD 	Not Posted, Both Sides Mon	
COLLWOOD WY 	5000 - 5059 	COLLWOOD BL - END 	Not Posted, Both Sides 3rd Mon	
COLONIAL AV 	1800 - 1831 	ROWAN ST - END 	Not Posted, Both Sides 2nd Mon	
COLTS WY 	4000 - 4199 	BEGIN - ORANGE AV 	Not Posted, Both Sides 2nd Mon	
COLUMBINE ST 	2680 - 2799 	FAIRMOUNT AV - OLIVE ST 	Not Posted, Both Sides Odd Month 4th Tue	
COLUMBINE ST 	2800 - 2899 	OLIVE ST - PEPPER DR 	Not Posted, Both Sides Odd Month 4th Tue	
COLUMBINE ST 	2900 - 2949 	PEPPER DR - QUINCE ST 	Not Posted, Both Sides Odd Month 4th Tue	
COLUMBINE ST 	2950 - 2999 	QUINCE ST - POPLAR ST 	Not Posted, Both Sides Odd Month 4th Tue	
COLUMBINE ST 	3000 - 3049 	POPLAR ST - MANZANITA DR 	Not Posted, Both Sides Odd Month 4th Tue	
CONNIE DR 	6300 - 6399 	BEGIN - ART ST 	Not Posted, Both Sides 2nd Mon	
CONSTANCE DR 	4600 - 4743 	NORMA DR - NATALIE DR 	Not Posted, Both Sides 3rd Mon	
CONSTANCE DR 	4744 - 4799 	NATALIE DR - NORMA DR 	Not Posted, Both Sides 3rd Mon	
CONTOUR BL 	4500 - 4529 	MONROE AV - DAWSON AV 	Not Posted, Both Sides 3rd Mon	
CONTOUR BL 	4530 - 4564 	DAWSON AV - 52ND ST 	Not Posted, Both Sides 3rd Mon	
CONTOUR BL 	4565 - 4629 	52ND ST - 51ST ST 	Not Posted, Both Sides 3rd Mon	
COPELAND AV 	4200 - 4299 	ORANGE AV - EL CAJON BL 	Posted (10am - 1pm), WS 2nd & 4th Mon, ES 2nd & 4th Tue	
COPELAND AV 	4300 - 4399 	EL CAJON BL - MEADE AV 	Not Posted, Both Sides 4th Mon	
COPELAND AV 	4400 - 4499 	MEADE AV - MONROE AV 	Not Posted, Both Sides 4th Mon	
COPELAND AV 	4500 - 4599 	MONROE AV - COPELAND PL 	Not Posted, Both Sides 4th Mon	
COPELAND PL 	4200 - 4299 	42ND ST - COPELAND AV 	Not Posted, Both Sides 4th Mon	
CORDREY CT 	1840 - 1899 	BEGIN - TRAILING DR 	Not Posted, Both Sides 2nd Mon	
CORINTH ST 	4200 - 4399 	EAST OVERLOOK DR - TROJAN AV 	Not Posted, Both Sides 2nd Mon	
CORLISS ST 	4800 - 4899 	AUBURN DR - ALTADENA AV 	Not Posted, Both Sides 4th Mon	
COUNTRYSIDE DR 	5180 - 5299 	BEGIN - DEFIANCE WY 	Not Posted, Both Sides Even Month 3rd Thu	
CRENSHAW ST 	1800 - 1899 	GATEWAY DR - TRAILING DR 	Not Posted, Both Sides 2nd Mon	
CRENSHAW ST 	1900 - 2149 	TRAILING DR - REXFORD DR 	Not Posted, Both Sides 2nd Mon	
CRENSHAW ST 	2150 - 2239 	REXFORD DR - TULIP LN 	Not Posted, Both Sides 2nd Mon	
CRESITA DR 	4900 - 5019 	COLLEGE AV - COLLEGE AV 	Not Posted, Both Sides 2nd Mon	
CURRY DR 	4800 - 4899 	BEGIN - CATOCTIN DR 	Not Posted, Both Sides 2nd Mon	
CURRY DR 	4900 - 4999 	CATOCTIN DR - END 	Not Posted, Both Sides 2nd Mon	
CUYAMACA AV 	400 - 459 	FRANKLIN AV - JAMUL AV 	Not Posted, Both Sides 2nd Fri	
CUYAMACA AV 	460 - 499 	JAMUL AV - OCEAN VIEW BL 	Not Posted, Both Sides 2nd Fri	
CYNTHIA PL 	4400 - 4499 	RIDGE VIEW DR - END 	Not Posted, Both Sides 2nd Mon	
DAHLIA ST 	2900 - 2999 	POPLAR ST - MANZANITA DR 	Not Posted, Both Sides Odd Month 4th Tue	
DAWSON AV 	4300 - 4399 	TROJAN AV - EL CAJON BL 	Not Posted, Both Sides 3rd Mon	
DAWSON AV 	4400 - 4499 	EL CAJON BL - MONROE AV 	Not Posted, Both Sides 3rd Mon	
DAWSON AV 	4500 - 4549 	MONROE AV - CONTOUR BL 	Not Posted, Both Sides 3rd Mon	
DAYTON ST 	4400 - 4499 	EL CAJON BL - GILBERT DR 	Not Posted, Both Sides Even Month 3rd Thu	
DEBBY DR 	5000 - 5099 	DOROTHY DR - MARY LANE DR 	Not Posted, Both Sides Even Month 3rd Thu	
DEFIANCE WY 	4900 - 4999 	BEGIN - PROSPERITY LN 	Not Posted, Both Sides Even Month 3rd Thu	
DEFIANCE WY 	5000 - 5050 	PROSPERITY LN - COUNTRYSIDE DR 	Not Posted, Both Sides Even Month 3rd Thu	
DEFIANCE WY 	5051 - 5099 	COUNTRYSIDE DR - JOAN CT 	Not Posted, Both Sides Even Month 3rd Thu	
DELTA ST 	4500 - 4649 	BEGIN - END 	Not Posted, Both Sides 2nd Fri	
DENBY ST 	400 - 599 	J ST - MARKET ST 	Not Posted, Both Sides 1st Mon	
DENBY ST 	600 - 799 	MARKET ST - F ST 	Not Posted, Both Sides 1st Mon	
DICK ST 	4950 - 4999 	WINONA AV - 50TH ST 	Not Posted, Both Sides 3rd Mon	
DICK ST 	5000 - 5099 	50TH ST - 51ST ST 	Not Posted, Both Sides 3rd Mon	
DORMAN DR 	5100 - 5199 	DROVER DR - END 	Not Posted, Both Sides Even Month 3rd Thu	
DOROTHY DR 	5400 - 5469 	DEBBY DR - 55TH PL 	Not Posted, Both Sides Even Month 3rd Thu	
DOROTHY DR 	5470 - 5499 	55TH PL - 55TH ST 	Not Posted, Both Sides Even Month 3rd Thu	
DOROTHY DR 	5500 - 5599 	55TH ST - DOROTHY WY 	Not Posted, Both Sides Even Month 3rd Thu	
DOROTHY DR 	5600 - 5699 	DOROTHY WY - DOROTHY WY 	Not Posted, Both Sides Even Month 3rd Thu	
DOROTHY DR 	5700 - 5799 	DOROTHY WY - CAMPANILE DR 	Not Posted, Both Sides Even Month 3rd Thu	
DOROTHY DR 	6100 - 6299 	ROCKFORD DR - 63RD ST 	Not Posted, Both Sides 2nd Mon	
DOROTHY WY 	5600 - 5699 	DOROTHY DR - DOROTHY DR 	Not Posted, Both Sides Even Month 3rd Thu	
DROVER DR 	5350 - 5399 	WALSH WY - REMINGTON RD 	Not Posted, Both Sides Even Month 3rd Thu	
DROVER DR 	5400 - 5439 	REMINGTON RD - BIXEL DR 	Not Posted, Both Sides Even Month 3rd Thu	
DROVER DR 	5440 - 5499 	BIXEL DR - DORMAN DR 	Not Posted, Both Sides Even Month 3rd Thu	
DROVER DR 	5500 - 5599 	DORMAN DR - END 	Not Posted, Both Sides Even Month 3rd Thu	
DURANT ST 	3500 - 3549 	S 35TH ST - S PARDEE ST 	Not Posted, Both Sides 2nd Fri	
DURANT ST 	3550 - 3599 	S PARDEE ST - 36TH ST 	Not Posted, Both Sides 2nd Fri	
